gameRefId,frameNum,period,periodGameClockTime,game_event_id,possession_event_id,game_event_type,team_name,home_team,home_ball,game_event_start_frame,game_event_end_frame,game_event_start_time,game_event_end_time,possession_event_type,possession_start_frame,possession_end_frame,possession_start_time
,160642,2,5039.239427,,,,,,,,,,,,,,
,160643,2,5039.272793,,,,,,,,,,,,,,
,160644,2,5039.30616,,,,,,,,,,,,,,
,160645,2,5039.339527,,,,,,,,,,,,,,
,160646,2,5039.372894,,,,,,,,,,,,,,
,160647,2,5039.40626,,,,,,,,,,,,,,
,160648,2,5039.439627,,,,,,,,,,,,,,
,160649,2,5039.472994,,,,,,,,,,,,,,
,160650,2,5039.50636,,,,,,,,,,,,,,
,160651,2,5039.539727,,,,,,,,,,,,,,
,160652,2,5039.573094,,,,,,,,,,,,,,
,160653,2,5039.60646,,,,,,,,,,,,,,
,160654,2,5039.639827,,,,,,,,,,,,,,
,160655,2,5039.673194,,,,,,,,,,,,,,
,160656,2,5039.706561,,,,,,,,,,,,,,
,160657,2,5039.739927,,,,,,,,,,,,,,
,160658,2,5039.773294,,,,,,,,,,,,,,
,160659,2,5039.806661,,,,,,,,,,,,,,
,160660,2,5039.840027,,,,,,,,,,,,,,
,160661,2,5039.873394,,,,,,,,,,,,,,
,160662,2,5039.906761,,,,,,,,,,,,,,
,160663,2,5039.940127,,,,,,,,,,,,,,
,160664,2,5039.973494,,,,,,,,,,,,,,
,160665,2,5040.006861,,,,,,,,,,,,,,
,160666,2,5040.040228,,,,,,,,,,,,,,
,160667,2,5040.073594,,,,,,,,,,,,,,
,160668,2,5040.106961,,,,,,,,,,,,,,
,160669,2,5040.140328,,,,,,,,,,,,,,
,160670,2,5040.173694,,,,,,,,,,,,,,
,160671,2,5040.207061,,,,,,,,,,,,,,
,160672,2,5040.240428,,,,,,,,,,,,,,
,160673,2,5040.273794,,,,,,,,,,,,,,
,160674,2,5040.307161,,,,,,,,,,,,,,
,160675,2,5040.340528,,,,,,,,,,,,,,
,160676,2,5040.373895,,,,,,,,,,,,,,
,160677,2,5040.407261,,,,,,,,,,,,,,
,160678,2,5040.440628,,,,,,,,,,,,,,
